expressionRxns1,expressionRxns2,expressionRxns3
0.851066847208673,1.49362795718408,5.26936047001331
10.4071264377883,5.82006737507892,5.6495479693759
3.05800278986292,3.07876584553563,4.17664031577039
0.156348767458965,2.79829940264431,0.13891523645673
0.842015812498816,0.278082833892572,0.0701630617556715
5.3311993081173,5.77494626065843,3.81904605420491
5.9226236287518,6.55690712562408,5.82050825492935
5.9226236287518,6.55690712562408,5.82050825492935
3.50177678508611,4.31778092348904,4.41868555213328
3.71299889489542,3.95086699589509,2.63791191113517
8.69336285075302,2.52490441333437,2.20346412766413
1.77982494151913,0.614869267206943,0.106876761601463
1.77982494151913,0.614869267206943,0.106876761601463
0.0437096153685395,0.168977044724323,0
0.0437096153685395,0.168977044724323,0
-1,-1,-1
3.07543329894124,14.0725208304288,2.77489388766576
6.02189907311769,1.91865959503348,2.87132030867815
18.5171226285928,9.03425773590405,4.78989342946093
18.5171226285928,9.03425773590405,4.78989342946093
18.5171226285928,9.03425773590405,4.78989342946093
18.5171226285928,9.03425773590405,4.78989342946093
5.43938864944577,5.60120451855557,6.9186321070989
7.52569872516186,9.97727238620332,3.94383926216037
13.8511901205017,9.39326046461207,5.97097849184934
5.05407608329072,9.97727238620332,2.58968259742403
7.52569872516186,9.97727238620332,4.60245950666157
13.8511901205017,9.39326046461207,5.97097849184934
7.52569872516186,9.97727238620332,4.60245950666157
3.31582877502967,3.27578406414676,3.78912014853785
0.543603667258232,0.76652282696296,0.969123799810464
0.00780556076595351,0.24707078834526,0.207358481097819
1.24862479155199,2.31116023446013,3.72776963455523
2.60863790695478,1.11641142268473,5.96388564429708
2.60863790695478,1.11641142268473,5.96388564429708
5.43938864944577,19.383500201937,6.9186321070989
5.43938864944577,19.383500201937,6.9186321070989
2.83151512169576,4.75172745346974,2.50888897891804
2.83151512169576,4.75172745346974,2.50888897891804
2.83151512169576,4.75172745346974,2.50888897891804
