gene_used1,gene_used2,gene_used3
8639,8639,26
,,
,,
,,
,,
,,
80055,80055,80055
,,
9453,9453,9453
2224,2224,2224
,,
2745,2745,2745
2936,2936,2936
2936,2936,2936
2879,7001,5052
2878,2878,2878
2879,10935,2876
2937,2937,2937
2643,2643,2643
2643,2643,2643
4881,4882,2984
9615,9615,9615
3251,3251,3251
,,
,,
,,
761,377677,771
11238,11238,11238
23556,23556,23556
,,
53905,53905,50506
23556,23556,23556
,,
84720,84720,5281
23556,23556,23556
,,
5281,54872,5281
84720,84720,5281
23556,23556,23556
,,
5281,54872,5281
23556,23556,23556
,,
128869,94005,10026
80235,80235,80235
80235,80235,80235
128869,94005,10026
3033,3030,3032
3295,3295,3295
3033,3028,3028
27235,27235,27235
3099,3099,3099
3099,3099,3099
3099,3099,3099
3099,3099,3099
1374,126129,1375
1376,1376,1376
3081,3081,3081
11112,11112,11112
3034,3034,3034
3067,1644,3067
314,314,26
8942,8942,8942
3145,3145,3145
3156,3156,3156
3157,3157,3157
3158,3158,3158
3155,54511,3155
3155,3155,3155
3162,3163,3162
,,
1374,126129,1375
1376,1376,1376
,,
,,
3945,3945,3939
9380,9380,9380
6448,6448,6448
6448,6448,6448
6448,6448,6448
6448,6448,6448
3290,3290,3290
3291,3291,3291
3292,7923,7923
3294,3294,3294
3295,3295,3295
3295,3295,3295
51478,51478,51478
3294,3294,3294
51478,51478,51478
1109,1109,1109
1109,1109,1109
3283,3283,3283
3284,3284,3284
3284,3284,3284
3283,3283,3283
3284,3284,3284
3284,3284,3284
3284,3284,3284
80270,80270,80270
,,
3251,3251,3251
57026,57026,57026
,,
3421,3421,3421
3417,3417,3417
3417,3417,3417
3418,3418,3418
7173,7173,7173
7173,7173,7173
7173,7173,7173
7173,7173,7173
3425,3425,3425
3425,3425,3425
3425,3425,3425
3425,3425,3425
586,586,586
587,587,587
223,224,223
217,217,217
471,471,471
3615,3615,3615
55586,55586,55586
,,
3422,3422,3422
8801,8801,8801
8803,8803,8803
144193,144193,144193
,,
3795,3795,3795
3795,3795,3795
3795,3795,3795
8942,8942,8942
8564,8564,8564
51166,51166,883
,,
2720,2720,2720
2720,2720,2720
128,128,128
231,231,231
53,51205,54
223,224,220
223,224,220
217,217,217
217,217,217
3931,3931,3931
2805,2805,2805
2806,2806,2806
51380,2571,51380
197257,197257,197257
3945,3945,3939
3945,3945,3939
586,586,586
587,587,587
8942,8942,8942
1374,126129,1375
1376,1376,1376
2739,2739,2739
,,
,,
,,
,,
1374,126129,1375
1376,1376,1376
1374,126129,1375
1376,1376,1376
1374,126129,1375
1376,1376,1376
1374,126129,1375
1376,1376,1376
11283,11283,11283
4047,4047,4047
5321,5321,1178
51268,51268,51268
4023,4023,1056
4023,4023,1056
3990,3990,3990
11343,11343,11343
3990,3990,3990
50487,50487,50487
4023,4023,5406
9227,9227,9227
,,
,,
,,
6309,6309,6309
6309,6309,6309
4048,4048,4048
,,
4259,4259,4259
,,
1644,1644,1644
80854,58508,6839
80854,58508,6839
80854,58508,6839
,,
4122,4124,4122
4245,4245,4245
11282,11282,11282
4248,4248,4248
,,
4249,4249,4249
4247,4247,4247
128869,94005,10026
5281,54872,5281
128869,94005,10026
84720,84720,5281
2954,2954,2954
4129,4129,220
8972,2548,8972
8972,8972,8972
2548,2548,2548
11253,11253,11253
11253,11253,11253
29926,29925,29925
,,
,,
4351,4351,4351
4128,4129,4128
8639,8639,26
64087,56922,56922
23417,23417,23417
23417,23417,23417
23417,23417,23417
,,
,,
3945,3945,3939
2194,2194,2194
27349,27349,27349
4357,4357,4357
4190,4190,4190
4190,4190,4190
,,
4200,4200,4200
4199,4199,4199
10873,10873,4200
,,
,,
3620,3620,3620
1545,1545,5447
,,
27430,27430,27430
4548,4548,4548
4598,4598,4598
7841,7841,7841
9529,9529,9529
9529,9529,9529
,,
549,549,549
,,
,,
8639,8639,26
,,
253430,253430,253430
3636,3636,3635
253430,253430,253430
,,
,,
3628,3628,3628
,,
253430,253430,253430
253430,253430,253430
80271,3706,3707
253430,253430,253430
3636,3636,3635
,,
3628,3628,3628
8898,3612,8776
51477,51477,51477
,,
8821,3631,3631
3613,3612,3613
3613,3612,3613
,,
2595,2595,2595
8972,8972,8972
2548,2548,2548
4121,4121,4121
4121,4121,4121
4121,4121,4121
57134,57134,57134
4121,4121,4121
4121,4121,4121
4121,4121,4121
4121,4121,4121
57134,57134,57134
4121,4121,4121
4121,4121,4121
4121,4121,4121
4121,4121,4121
4121,4121,4121
11253,11253,11253
4121,4121,4121
23417,23417,23417
23417,23417,23417
23417,23417,23417
84693,84693,84693
4594,4594,4594
4329,4329,4329
4329,4329,4329
,,
116255,80168,80168
4507,4507,4507
4522,4522,4522
10797,25902,10797
4522,4524,4524
10797,441024,10797
10797,10797,10797
4522,25902,10797
,,
56913,56913,56913
,,
223,224,223
217,217,217
443,443,91703
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3074,3074,3074
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
3073,3073,3073
65220,65220,65220
,,
952,952,952
,,
952,952,952
55191,55191,55191
4668,4668,4668
,,
4668,4668,4668
,,
55748,55748,55748
956,124583,953
956,124583,953
79077,79077,79077
957,124583,9583
956,124583,953
9583,9583,9583
1841,1841,1841
956,124583,953
4832,29922,10201
4832,29922,10201
4833,4833,4833
4830,4830,4830
10201,10201,10201
4830,4830,4830
4832,29922,10201
4833,4833,4833
4830,4830,4830
4832,29922,10201
10201,10201,10201
4830,4830,4830
4832,29922,10201
4833,4833,4833
4830,4830,4830
4832,29922,10201
10201,10201,10201
4830,4830,4830
4832,29922,10201
10201,10201,10201
4830,4830,4830
4832,29922,10201
4833,4833,4833
4830,4830,4830
4832,29922,10201
10201,10201,10201
4830,4830,4830
4832,29922,10201
4833,4833,4833
4830,4830,4830
,,
349565,349565,349565
64802,64802,64802
23057,349565,349565
10135,10135,10135
8639,8639,26
349565,349565,349565
